Tissue,Rep,Depth,NRF,PBC1,PBC2,NSC,RSC,JSD,SJSD,IJSD
Liver,A,21728945,0.718368,0.722149,3.647579,1.258783,1.077713,0.3607347089446374,0.4916673374127533,0.19965150128490938
Liver,B,26393592,0.720554,0.724098,3.670715,1.244434,1.08368,0.31500105469073714,0.4506417804567227,0.20065941683216412
