Tissue,Rep,Raw Reads,Trimmed Reads,%,Aligned Reads,%,Filtered Reads,%,Deduplicated,%,Total %
Liver,A,38118069,38117020,99.99724802429,33661101,88.30989673379503,30405863,90.32937752095512,30405863,100.0,79.76758476406557
Liver,B,44217626,44216613,99.99770905837414,41440483,93.72152272269248,36817716,88.84480424612812,36817716,100.0,83.26479580789797
