Tissue,Rep,Raw Reads,Trimmed Reads,%,Aligned Reads,%,Filtered Reads,%,Deduplicated,%,Total %
Liver,A,39122239,39119796,99.99375546987483,29338911,74.99760734948617,26150597,89.13281409797385,26150597,100.0,66.84330362584821
Liver,B,41149221,41146455,99.99327812305366,30334239,73.72260623667337,27410196,90.36058560757037,27410196,100.0,66.6117008630613
