Tissue,Rep,Raw Reads,Trimmed Reads,%,Aligned Reads,%,Filtered Reads,%,Deduplicated,%,Total %
Liver,A,52259498,52257642,99.99644849248264,51467521,98.48802783715347,39915448,77.5546348929454,39915448,100.0,76.37931768881515
Liver,B,44556825,44555911,99.99794868687346,43892569,98.51121437063648,34349422,78.25794384466309,34349422,100.0,77.0912694070998
