Tissue,Rep,Raw Reads,Trimmed Reads,%,Aligned Reads,%,Filtered Reads,%,Deduplicated,%,Total %
Liver,A,52223389,52222345,99.99800089572892,50876542,97.42293648437274,44034571,86.55181596264934,44034571,100.0,84.31963502023969
Liver,B,10969714,10969293,99.99616216065432,10664642,97.22269247434635,9473590,88.83176762989325,9473590,100.0,86.36132172634584
