Tissue,Rep,Depth,NRF,PBC1,PBC2,NSC,RSC,JSD,SJSD,IJSD
Liver,A,33361528,0.760471,0.761913,4.226119,1.097884,1.15545,0.22659163466990503,0.3800547132752049,0.19965982474478025
Liver,B,7920820,0.838018,0.841693,6.464725,1.118475,1.323833,0.2502144010413581,0.3984062916414217,0.20068068311729179
