Tissue,Rep,Depth,NRF,PBC1,PBC2,NSC,RSC,JSD,SJSD,IJSD
Liver,A,30211248,0.544825,0.537458,2.142869,1.075185,0.6164159,0.09240105281031727,0.28159323130629144,0.1996233070633571
Liver,B,23992406,0.454025,0.451601,1.874136,1.084175,0.638373,0.12211867373219237,0.3086485758939235,0.20064127007974394
