Tissue,Rep,Raw Reads,Trimmed Reads,%,Aligned Reads,%,Filtered Reads,%,Deduplicated,%,Total %
Liver,A,73943089,73937379,99.99227784492476,72658511,98.27033630716069,56247019,77.41284293590877,56247019,100.0,76.06798655652592
Liver,B,72288269,72283887,99.993938158901,70976620,98.19148214871178,53872751,75.90210832806635,53872751,100.0,74.52488729533695
