Tissue,Rep,Depth,NRF,PBC1,PBC2,NSC,RSC,JSD,SJSD,IJSD
Liver,A,11445668,0.451615,0.470686,1.999808,1.405161,1.103154,0.6144677352515377,0.6851676399485566,0.19966270165159877
Liver,B,11122126,0.420488,0.443703,1.934035,1.382838,1.179085,0.636712487739153,0.7077526510379332,0.20068537058993438
